rank;uri;artist_names;track_name;source;peak_rank;previous_rank;weeks_on_chart;streams
8;spotify:track:1rDQ4oMwGJI7B4tovsBOxc;Jack Harlow;First Class;Generation Now/Atlantic;7;7;3;503078
9;spotify:track:2coLAzVouJE4BC8lrKbDLk;Karpe, Omar Sheriff;PAF.no;A & K;1;8;13;500536
10;spotify:track:3IVkcYvMiqvRKa4ip0E7a8;Ballinciaga, Kevin Lauren;Loud Luxury 2022;Virgin Music Label And Artist Services;3;10;29;457806
11;spotify:track:6Z165JvPnS8PYvGW8oLGLc;Lauren Spencer Smith;Flowers;Three Name Productions, Inc./ Island Records & Republic Records;11;12;2;451692
12;spotify:track:1r8ZCjfrQxoy2wVaBUbpwg;The Kid LAROI;Thousand Miles;Columbia;12;-1;1;434927
13;spotify:track:1g6pAG1re0AKUO26JJpZJ8;Capow x 2G;31 Etasje;WM Norway;7;9;4;433220
14;spotify:track:6xb3ooLtkGkl4j1rGPmGKz;Ramón;ok jeg lover;Universal Music AS;1;11;10;406686
15;spotify:track:3h2IRgTZrU4hSNCePszT23;UNDERGRUNN;Italia;UG Records;15;16;4;381164
16;spotify:track:03OkFJQvdweiwzZcPPsQ23;Yung Slippy;Lekeland 2022;YungSlippy.Inc;10;14;8;370370
17;spotify:track:4rU71m6Drus4eG3S4AQu3e;Ballinciaga;Hot Boy Summer (Daydream 2022);Ballin' Records;17;21;11;361756
18;spotify:track:2XAup2iHm6t3UK4Hsjkkwy;Aiba;Sympati;RCA Records Label;2;13;8;357432
19;spotify:track:0gG0dF1yexUsE8OO7mq8Kn;Sportsalleen, gangCBang;Suksé 2022 (Hjemmesmæck);Blue Balls Records;19;19;20;344733
20;spotify:track:02MWAaffLxlfxAUY7c5dvx;Glass Animals;Heat Waves;Polydor Records;1;15;75;341492
21;spotify:track:2DB4DdfCFMw1iaR6JaR03a;Camila Cabello, Ed Sheeran;Bam Bam (feat. Ed Sheeran);Epic;18;22;8;321068
22;spotify:track:6qMf3eqbmToDXj7LixyK1w;Chris Holsten;Slå hjerte, slå;WM Norway;7;17;6;312645
23;spotify:track:4RAR8g8fZNB106ezUurnE0;Kygo, DNCE;Dancing Feet (feat. DNCE);Kygo/RCA Records;8;18;9;308714
24;spotify:track:7jtQIBanIiJOMS6RyCx6jZ;Tom Odell;Another Love;ITNO/Columbia;9;20;63;293148
25;spotify:track:1yHGoNVtlz20xq2ny8QpxP;Hagle;Felleskjøpet-dress;Universal Music AS;25;-1;1;278183
26;spotify:track:6JIC3hbC28JZKZ8AlAqX8h;Elton John, Dua Lipa, PNAU;Cold Heart - PNAU Remix;EMI;8;23;37;276888
27;spotify:track:2B4GHvToeLTOBB4QLzW3Ni;Farruko;Pepas;Sony Music Latin;19;24;36;273692
